iter	RMSE
0	0.1530250352
1	0.1516709693
2	0.1505824778
3	0.1495611641
4	0.1486465599
5	0.1475907432
6	0.1466463861
7	0.1458596666
8	0.145035372
9	0.1443448617
10	0.1435769516
11	0.1428780979
12	0.1419953317
13	0.1411302759
14	0.1401846252
15	0.1392122103
16	0.1385658373
17	0.1379567128
18	0.1370554519
19	0.1359972869
20	0.1351362118
21	0.1345425124
22	0.1337059291
23	0.1327785722
24	0.1320501394
25	0.1314522772
26	0.1307265539
27	0.1300909537
28	0.1295510307
29	0.1288187578
30	0.1278725555
31	0.1270585232
32	0.1263785765
33	0.1257061283
34	0.1251255931
35	0.1243941192
36	0.1235852358
37	0.1231008253
38	0.1224323249
39	0.1216767596
40	0.1211505932
41	0.1203154843
42	0.1197533003
43	0.1192623288
44	0.1185025146
45	0.1179052804
46	0.1171051332
47	0.1165074968
48	0.1159530743
49	0.1152801605
50	0.1147834089
51	0.1141309208
52	0.1135999346
53	0.1129980399
54	0.112510912
55	0.1120908158
56	0.1115629018
57	0.1112292889
58	0.1108777148
59	0.1102867349
60	0.1097026891
61	0.1092414808
62	0.1089157185
63	0.1085889573
64	0.1079233482
65	0.1075211234
66	0.1071629093
67	0.1067932333
68	0.1063009969
69	0.1060017596
70	0.1055457701
71	0.1051758433
72	0.1047463542
73	0.1046447291
74	0.1044687327
75	0.1040048484
76	0.1035188789
77	0.1029194897
78	0.1026256479
79	0.1021106445
80	0.1016946067
81	0.1014884673
82	0.1012684014
83	0.100872842
84	0.1004796954
85	0.1000520866
86	0.09969348243
87	0.09926301087
88	0.09869597777
89	0.09823357006
90	0.09782902415
91	0.09731347816
92	0.09689820867
93	0.09656616848
94	0.09615283974
95	0.09572387495
96	0.09519917776
97	0.09494502465
98	0.09445670229
99	0.09415339354
100	0.09378320934
101	0.09334724943
102	0.09311075535
103	0.09275652183
104	0.09249728807
105	0.09195567902
106	0.09183795331
107	0.09139450245
108	0.09109989462
109	0.09063758424
110	0.09039505965
111	0.09014606529
112	0.08991975677
113	0.08949524905
114	0.08928318287
115	0.08890145818
116	0.08852315804
117	0.0883196895
118	0.08791942684
119	0.08766372339
120	0.08756700849
121	0.08727707627
122	0.08702511366
123	0.08676522408
124	0.08645348334
125	0.08618792599
