ano,dimensao,localidade,populacao_branca,populacao_negra,populacao_amarela,populacao_parda,populacao_indigena,populacao_sem_declaracao,populacao_total,estado,populacao_branca_porcentagem,populacao_negra_porcentagem,populacao_amarela_porcentagem,populacao_parda_porcentagem,populacao_indigena_porcentagem,populacao_sem_declaracao_porcentagem
2010,Município,Alta Floresta D'Oeste,4674,571,65,5150,67,0,10526,RO,44.4,5.42,0.62,48.93,0.64,0.0
2010,Município,Ariquemes,16057,4644,976,23418,66,0,45162,RO,35.55,10.28,2.16,51.85,0.15,0.0
2010,Município,Cabixi,1446,170,32,1216,3,0,2867,RO,50.44,5.93,1.12,42.41,0.1,0.0
2010,Município,Cacoal,16979,2752,510,19207,530,0,39977,RO,42.47,6.88,1.28,48.05,1.33,0.0
2010,Município,Cerejeiras,4269,543,104,3740,14,0,8670,RO,49.24,6.26,1.2,43.14,0.16,0.0
2010,Município,Colorado do Oeste,3707,637,163,4327,4,0,8837,RO,41.95,7.21,1.84,48.96,0.05,0.0
2010,Município,Corumbiara,1528,448,110,2152,4,0,4243,RO,36.01,10.56,2.59,50.72,0.09,0.0
2010,Município,Costa Marques,1944,492,50,3658,119,0,6262,RO,31.04,7.86,0.8,58.42,1.9,0.0
2010,Município,Espigão D'Oeste,6984,916,158,6905,85,0,15048,RO,46.41,6.09,1.05,45.89,0.56,0.0
2010,Município,Guajará-Mirim,3857,1672,388,10325,602,0,16843,RO,22.9,9.93,2.3,61.3,3.57,0.0
2010,Município,Jaru,8213,2287,396,13789,34,0,24719,RO,33.23,9.25,1.6,55.78,0.14,0.0
2010,Município,Ji-Paraná,23667,4221,1179,30321,779,0,60167,RO,39.34,7.02,1.96,50.39,1.29,0.0
2010,Município,Machadinho D'Oeste,4739,1283,211,8633,43,0,14908,RO,31.79,8.61,1.42,57.91,0.29,0.0
2010,Município,Nova Brasilândia D'Oeste,4117,784,108,5143,16,0,10169,RO,40.49,7.71,1.06,50.58,0.16,0.0
2010,Município,Ouro Preto do Oeste,6803,1722,183,10431,42,0,19181,RO,35.47,8.98,0.95,54.38,0.22,0.0
2010,Município,Pimenta Bueno,7643,1163,318,9097,33,0,18255,RO,41.87,6.37,1.74,49.83,0.18,0.0
2010,Município,Porto Velho,65151,17972,3779,127034,940,0,214877,RO,30.32,8.36,1.76,59.12,0.44,0.0
2010,Município,Presidente Médici,4767,592,200,5994,0,0,11553,RO,41.26,5.12,1.73,51.88,0.0,0.0
2010,Município,Rio Crespo,572,114,13,661,0,0,1360,RO,42.06,8.38,0.96,48.6,0.0,0.0
2010,Município,Rolim de Moura,10476,1900,377,12487,29,0,25269,RO,41.46,7.52,1.49,49.42,0.11,0.0
2010,Município,Santa Luzia D'Oeste,1536,286,83,2596,8,0,4510,RO,34.06,6.34,1.84,57.56,0.18,0.0
2010,Município,Vilhena,18469,2613,402,19308,268,0,41060,RO,44.98,6.36,0.98,47.02,0.65,0.0
2010,Município,São Miguel do Guaporé,3830,739,192,5418,50,0,10228,RO,37.45,7.23,1.88,52.97,0.49,0.0
2010,Município,Nova Mamoré,3047,570,216,6345,217,0,10395,RO,29.31,5.48,2.08,61.04,2.09,0.0
2010,Município,Alvorada D'Oeste,2785,501,120,4151,10,0,7567,RO,36.8,6.62,1.59,54.86,0.13,0.0
2010,Município,Alto Alegre dos Parecis,2275,514,134,3225,0,0,6148,RO,37.0,8.36,2.18,52.46,0.0,0.0
2010,Município,Alto Paraíso,3324,781,181,4715,13,0,9014,RO,36.88,8.66,2.01,52.31,0.14,0.0
2010,Município,Buritis,6054,1203,338,9300,20,0,16916,RO,35.79,7.11,2.0,54.98,0.12,0.0
2010,Município,Novo Horizonte do Oeste,2096,358,50,2281,9,0,4795,RO,43.71,7.47,1.04,47.57,0.19,0.0
2010,Município,Cacaulândia,905,378,43,1655,7,0,2988,RO,30.29,12.65,1.44,55.39,0.23,0.0
2010,Município,Campo Novo de Rondônia,1956,584,36,3077,7,0,5659,RO,34.56,10.32,0.64,54.37,0.12,0.0
2010,Município,Candeias do Jamari,2206,672,130,5767,0,0,8775,RO,25.14,7.66,1.48,65.72,0.0,0.0
2010,Município,Castanheiras,711,100,4,954,0,0,1769,RO,40.19,5.65,0.23,53.93,0.0,0.0
