mes_ano,variacao_mes,acumulado_ano
Jan/2020,0.21,0.21
Fev/2020,0.25,0.4605
Mar/2020,0.07,0.5308
Abr/2020,-0.31,0.2192
Mai/2020,-0.38,-0.1616
Jun/2020,0.26,0.0979
Jul/2020,0.36,0.4583
Ago/2020,0.24,0.6994
Set/2020,0.64,1.3439
Out/2020,0.86,2.2154
Nov/2020,0.89,3.1252
Dez/2020,1.35,4.5173
Jan/2021,0.25,0.25
Fev/2021,0.86,1.1121
Mar/2021,0.93,2.0525
Abr/2021,0.31,2.3689
Mai/2021,0.83,3.2185
Jun/2021,0.53,3.7656
Jul/2021,0.96,4.7617
Ago/2021,0.87,5.6732
Set/2021,1.16,6.899
Out/2021,1.25,8.2352
Nov/2021,0.95,9.2634
Dez/2021,0.73,10.0611
Jan/2022,0.54,0.54
Fev/2022,1.01,1.555
Mar/2022,1.62,3.2007
Abr/2022,1.06,4.2946
Mai/2022,0.47,4.7848
Jun/2022,0.67,5.4868
Jul/2022,-0.68,4.7695
Ago/2022,-0.36,4.3923
Set/2022,-0.29,4.0896
Out/2022,0.59,4.7037
